Outlet ID,Brand Name,Sales Value,DATE
Outlet 69,Brand 1,233.8146,20-Apr-18
Outlet 70,Brand 7,227.4188,20-Apr-18
Outlet 70,Brand 5,764.1,20-Apr-18
Outlet 70,Brand 8,2689.632,20-Apr-18
Outlet 71,Brand 10,1446.696,6-Apr-18
Outlet 71,Brand 10,4340.088,13-Apr-18
Outlet 71,Brand 4,220.9098,6-Apr-18
Outlet 71,Brand 9,341.9206,6-Apr-18
Outlet 71,Brand 9,462.0824,27-Apr-18
Outlet 71,Brand 9,631.9956,27-Apr-18
Outlet 71,Brand 9,842.6608,6-Apr-18
Outlet 71,Brand 9,1263.9912,13-Apr-18
Outlet 71,Brand 9,1386.2472,13-Apr-18
Outlet 72,Brand 10,1446.696,13-Apr-18
Outlet 72,Brand 4,173.0828,13-Apr-18
Outlet 72,Brand 4,441.8196,13-Apr-18
Outlet 72,Brand 9,1685.3216,13-Apr-18
Outlet 73,Brand 7,362.0136,20-Apr-18
Outlet 73,Brand 5,764.1,20-Apr-18
Outlet 73,Brand 8,448.272,20-Apr-18
Outlet 74,Brand 6,183.101,20-Apr-18
Outlet 74,Brand 5,3056.4,20-Apr-18
Outlet 74,Brand 8,448.272,20-Apr-18
Outlet 75,Brand 7,1222.0506,20-Apr-18
Outlet 75,Brand 5,2292.3,20-Apr-18
Outlet 75,Brand 8,2689.632,20-Apr-18
Outlet 75,Brand 1,1223.0128,20-Apr-18
Outlet 76,Brand 7,724.0272,27-Apr-18
Outlet 76,Brand 10,1446.696,27-Apr-18
Outlet 76,Brand 9,1685.3216,27-Apr-18
Outlet 77,Brand 1,395.6906,25-Apr-18
Outlet 77,Brand 1,467.6292,11-Apr-18
Outlet 77,Brand 2,358.844,11-Apr-18
Outlet 77,Brand 3,150.0466,11-Apr-18
Outlet 77,Brand 3,300.0932,25-Apr-18
Outlet 78,Brand 5,764.1,25-Apr-18
Outlet 78,Brand 1,395.6906,11-Apr-18
Outlet 78,Brand 1,467.6292,25-Apr-18
Outlet 78,Brand 1,611.5064,11-Apr-18
Outlet 78,Brand 1,791.3812,11-Apr-18
Outlet 78,Brand 3,150.0466,11-Apr-18
Outlet 78,Brand 3,150.0466,25-Apr-18
Outlet 79,Brand 1,1223.0128,18-Apr-18
Outlet 79,Brand 2,92.0316,18-Apr-18
Outlet 79,Brand 2,724.9328,18-Apr-18
Outlet 79,Brand 3,300.0932,18-Apr-18
Outlet 80,Brand 1,1223.0128,11-Apr-18
Outlet 80,Brand 2,358.844,11-Apr-18
Outlet 80,Brand 2,585.81,11-Apr-18
Outlet 80,Brand 4,173.0828,11-Apr-18
Outlet 81,Brand 6,366.202,18-Apr-18
Outlet 81,Brand 5,350.2408,18-Apr-18
Outlet 81,Brand 1,611.5064,18-Apr-18
Outlet 81,Brand 10,1446.696,11-Apr-18
Outlet 81,Brand 4,173.0828,11-Apr-18
Outlet 81,Brand 9,462.0824,11-Apr-18
Outlet 81,Brand 9,1685.3216,11-Apr-18
Outlet 82,Brand 5,350.2408,18-Apr-18
Outlet 82,Brand 1,233.8146,18-Apr-18
Outlet 82,Brand 1,611.5064,11-Apr-18
Outlet 82,Brand 1,791.3812,11-Apr-18
Outlet 82,Brand 2,92.0316,11-Apr-18
Outlet 82,Brand 2,362.4664,11-Apr-18
Outlet 82,Brand 2,585.81,18-Apr-18
Outlet 82,Brand 3,450.1398,11-Apr-18
Outlet 83,Brand 1,233.8146,18-Apr-18
Outlet 83,Brand 1,395.6906,18-Apr-18
Outlet 83,Brand 2,362.4664,18-Apr-18
Outlet 83,Brand 3,150.0466,18-Apr-18
Outlet 84,Brand 5,764.1,18-Apr-18
Outlet 84,Brand 1,1223.0128,18-Apr-18
Outlet 84,Brand 3,300.0932,18-Apr-18
Outlet 85,Brand 1,611.5064,18-Apr-18
Outlet 85,Brand 2,585.81,18-Apr-18
Outlet 85,Brand 2,1087.3992,18-Apr-18
Outlet 86,Brand 1,395.6906,18-Apr-18
Outlet 86,Brand 2,276.0948,18-Apr-18
Outlet 86,Brand 2,362.4664,18-Apr-18
Outlet 87,Brand 1,395.6906,18-Apr-18
Outlet 87,Brand 2,276.0948,18-Apr-18
Outlet 87,Brand 3,300.0932,18-Apr-18
Outlet 88,Brand 5,350.2408,18-Apr-18
Outlet 88,Brand 1,467.6292,18-Apr-18
Outlet 88,Brand 2,184.0632,18-Apr-18
Outlet 88,Brand 3,300.0932,18-Apr-18
Outlet 89,Brand 7,227.4188,11-Apr-18
Outlet 89,Brand 7,362.0136,11-Apr-18
Outlet 89,Brand 10,4340.088,11-Apr-18
Outlet 89,Brand 9,2527.9824,11-Apr-18
Outlet 90,Brand 7,724.0272,11-Apr-18
Outlet 90,Brand 10,2893.392,11-Apr-18
Outlet 90,Brand 9,537.9264,11-Apr-18
Outlet 90,Brand 9,693.1236,11-Apr-18
Outlet 90,Brand 9,2527.9824,11-Apr-18
Outlet 91,Brand 6,553.3216,18-Apr-18
Outlet 91,Brand 7,362.0136,25-Apr-18
Outlet 91,Brand 7,724.0272,18-Apr-18
Outlet 91,Brand 8,1793.088,18-Apr-18
Outlet 91,Brand 1,611.5064,18-Apr-18
Outlet 91,Brand 3,150.0466,25-Apr-18
Outlet 91,Brand 4,220.9098,25-Apr-18
Outlet 92,Brand 10,2893.392,25-Apr-18
Outlet 92,Brand 4,220.9098,25-Apr-18
Outlet 92,Brand 9,924.1648,25-Apr-18
Outlet 92,Brand 9,3370.6432,25-Apr-18
Outlet 93,Brand 3,300.0932,25-Apr-18
Outlet 93,Brand 4,220.9098,25-Apr-18
Outlet 93,Brand 9,421.3304,25-Apr-18
Outlet 94,Brand 6,679.2,18-Apr-18
Outlet 94,Brand 7,1222.0506,18-Apr-18
Outlet 94,Brand 8,1793.088,18-Apr-18
Outlet 95,Brand 3,300.0932,25-Apr-18
Outlet 95,Brand 4,220.9098,25-Apr-18
Outlet 95,Brand 9,631.9956,25-Apr-18
Outlet 96,Brand 4,220.9098,11-Apr-18
Outlet 96,Brand 9,179.3088,11-Apr-18
Outlet 96,Brand 9,631.9956,11-Apr-18
Outlet 97,Brand 3,300.0932,11-Apr-18
Outlet 97,Brand 10,2893.392,11-Apr-18
Outlet 97,Brand 9,231.0412,11-Apr-18
Outlet 97,Brand 9,683.8412,11-Apr-18
Outlet 97,Brand 9,3370.6432,11-Apr-18
Outlet 98,Brand 6,1659.9648,18-Apr-18
Outlet 98,Brand 7,1448.0544,18-Apr-18
Outlet 98,Brand 7,1629.4008,18-Apr-18
Outlet 98,Brand 8,2689.632,18-Apr-18
Outlet 99,Brand 7,724.0272,25-Apr-18
Outlet 99,Brand 3,300.0932,25-Apr-18
Outlet 99,Brand 10,1446.696,25-Apr-18
Outlet 99,Brand 9,1263.9912,25-Apr-18
Outlet 100,Brand 3,600.1864,25-Apr-18
Outlet 100,Brand 10,4340.088,25-Apr-18
Outlet 100,Brand 9,2527.9824,25-Apr-18
Outlet 101,Brand 7,227.4188,25-Apr-18
Outlet 101,Brand 7,362.0136,25-Apr-18
Outlet 101,Brand 10,4340.088,25-Apr-18
Outlet 101,Brand 9,2527.9824,25-Apr-18
Outlet 102,Brand 7,227.4188,25-Apr-18
Outlet 102,Brand 9,179.3088,25-Apr-18
Outlet 102,Brand 9,631.9956,25-Apr-18
Outlet 103,Brand 7,362.0136,25-Apr-18
Outlet 103,Brand 3,300.0932,25-Apr-18
Outlet 103,Brand 10,1446.696,11-Apr-18
Outlet 103,Brand 4,220.9098,11-Apr-18
Outlet 103,Brand 9,341.9206,11-Apr-18
Outlet 103,Brand 9,631.9956,25-Apr-18
Outlet 103,Brand 9,1685.3216,11-Apr-18
Outlet 104,Brand 7,724.0272,18-Apr-18
Outlet 104,Brand 5,764.1,18-Apr-18
Outlet 104,Brand 8,1793.088,18-Apr-18
Outlet 104,Brand 1,395.6906,18-Apr-18
Outlet 104,Brand 2,362.4664,11-Apr-18
Outlet 104,Brand 4,220.9098,11-Apr-18
Outlet 104,Brand 9,631.9956,11-Apr-18
Outlet 105,Brand 7,724.0272,18-Apr-18
Outlet 105,Brand 5,764.1,18-Apr-18
Outlet 105,Brand 8,5379.264,18-Apr-18
Outlet 105,Brand 1,611.5064,18-Apr-18
Outlet 106,Brand 7,1086.0408,25-Apr-18
Outlet 106,Brand 10,1446.696,25-Apr-18
Outlet 106,Brand 10,2893.392,11-Apr-18
Outlet 106,Brand 4,220.9098,11-Apr-18
Outlet 106,Brand 9,341.9206,11-Apr-18
Outlet 106,Brand 9,1263.9912,25-Apr-18
Outlet 106,Brand 9,1386.2472,11-Apr-18
Outlet 106,Brand 9,2527.9824,11-Apr-18
Outlet 107,Brand 2,724.9328,11-Apr-18
Outlet 107,Brand 3,300.0932,11-Apr-18
Outlet 107,Brand 10,1446.696,11-Apr-18
Outlet 107,Brand 9,1263.9912,11-Apr-18
Outlet 108,Brand 5,700.4816,26-Apr-18
Outlet 108,Brand 5,764.1,12-Apr-18
Outlet 108,Brand 1,395.6906,26-Apr-18
Outlet 108,Brand 1,791.3812,12-Apr-18
Outlet 108,Brand 2,724.9328,12-Apr-18
Outlet 108,Brand 3,300.0932,26-Apr-18
Outlet 109,Brand 1,395.6906,12-Apr-18
Outlet 109,Brand 1,611.5064,12-Apr-18
Outlet 109,Brand 2,585.81,12-Apr-18
Outlet 109,Brand 2,724.9328,12-Apr-18
Outlet 110,Brand 5,764.1,12-Apr-18
Outlet 110,Brand 1,233.8146,26-Apr-18
Outlet 110,Brand 1,395.6906,26-Apr-18
Outlet 110,Brand 1,611.5064,12-Apr-18
Outlet 110,Brand 2,184.0632,12-Apr-18
Outlet 110,Brand 2,552.1896,26-Apr-18
Outlet 110,Brand 3,300.0932,12-Apr-18
Outlet 110,Brand 3,300.0932,26-Apr-18
Outlet 110,Brand 4,441.8196,12-Apr-18
Outlet 111,Brand 5,700.4816,5-Apr-18
Outlet 111,Brand 1,395.6906,5-Apr-18
Outlet 111,Brand 1,611.5064,5-Apr-18
Outlet 111,Brand 3,600.1864,5-Apr-18
Outlet 112,Brand 5,350.2408,5-Apr-18
Outlet 112,Brand 1,395.6906,5-Apr-18
Outlet 112,Brand 2,276.0948,19-Apr-18
Outlet 112,Brand 2,362.4664,19-Apr-18
Outlet 112,Brand 3,150.0466,19-Apr-18
